species,Cervical,Thoracic,Lumbar,Sacral,Caudal
Pelodiscus sinensis,8.0,10.0,0.0,2.0,13.0
Apalone spinifera,8.0,9.5,0.5,2.0,17.0
Pelochelys bibroni,8.0,9.0,1.0,2.0,20.0
Carettochelys insculpta,8.0,9.0,0.0,2.0,19.0
Trachemys scripta,8.0,10.0,0.0,2.0,24.0
Chrysemys picta,8.0,10.0,0.0,2.0,28.0
Emys orbicularis,8.0,10.0,0.0,2.0,25.0
Terrapene ornata,8.0,10.0,0.0,2.0,22.0
Clemmys guttata,8.0,9.0,0.0,3.0,25.0
Glyptemys muhlenbergii,8.0,9.0,0.0,3.0,17.0
Platysternon megacephalum,8.0,10.0,0.0,3.0,32.0
Gopherus polyphemus,8.0,10.0,0.0,3.0,14.0
Testudo graeca,8.0,9.0,0.0,3.0,15.0
Chelonoidis niger,8.0,8.0,0.0,3.0,26.0
Chelonoidis carbonarius,8.0,9.0,0.0,3.0,26.0
Caretta caretta,8.0,10.0,0.0,3.0,16.0
Lepidochelys kempii,8.0,10.0,0.0,2.0,17.0
Eretmochelys imbricata,8.0,10.0,0.0,2.0,20.0
Chelonia mydas,8.0,9.5,1.0,2.0,19.0
Dermochelys coriacea,7.5,9.5,0.0,3.0,19.0
Chelydra serpentina,8.0,9.0,1.0,2.0,36.0
Macrochelys temminckii,8.0,9.0,0.0,3.0,24.0
Kinosternon flavescens,8.0,10.0,0.0,3.0,34.0
Kinosternon sonoriense,8.0,10.0,0.0,2.0,17.0
Kinosternon integrum,8.0,8.0,2.0,3.0,17.0
