Common Name,Species,Class,Caudal,B2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,47900.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,4970.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,58211.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,5054.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,3712.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,5320.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,16976.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,9919.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,5360.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,32335.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30714.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,33539.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,36001.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,3947.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,30771.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,3735.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,3702.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,6389.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,1227.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,47586.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,3841.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,3987.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,48158.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,5487.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,3825.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,5679.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,10965.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,1625.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,4050.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,17871.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,13981.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,3777.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,5432.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,2741.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,5953.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,3156.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,25145.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,3958.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,13554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,67089.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,3472.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,517.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,4527.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,31309.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,4219.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,6184.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,50958.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,41996.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,53021.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,3340.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,12334.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,3522.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,12456.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,11058.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,3363.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,12915.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,12915.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,13055.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,3475.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,5457.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,13102.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,45043.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,12196.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,10439.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,83089.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,84500.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,7639.5,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,11148.0,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,7676.243236034863,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,7654.234461501183,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,16087.887248869867,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,34770.0,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,22052.70972763714,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,24762.95567645792,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,26253.277027577118,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,21087.119921892812,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,17589.313777897896,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,5037.642511842715,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,4572.836007430894,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,22253.687200070937,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,26469.87200758382,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,24409.98632257275,32,4,0,0,0
