Common Name,Species,Class,Caudal,C4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,-48513.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,116907.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,47702.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,23266.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,-30297.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,17729.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,4778.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,18181.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,-42048.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,14585.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,22611.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,-19097.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,19202.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,22191.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,2228.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,16119.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,670.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,22272.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,24371.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,-18473.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,-60.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,27.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,25657.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,17739.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,22386.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,20812.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,20701.0,0,1,0,0,0
Common Pheasant,Phasianus colchicus,Aves,6.0,21399.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,19087.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,21888.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,30923.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,22507.0,0,0,0,1,0
