Common Name,Species,Class,Caudal,B6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,13951.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,23495.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,3001.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,8095.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,2441.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,8530.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,14893.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,9056.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,14583.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,15085.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,15821.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,14677.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,4468.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,14934.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,2118.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,2658.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,2659.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,4927.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,15266.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,2233.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,2223.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,14978.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,2258.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,2820.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,2481.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,15695.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,2328.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,1939.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,16434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,9903.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,9042.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,1731.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,152.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,20040.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,10714.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,2091.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,19406.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,16593.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,17518.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,9510.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,6903.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,13272.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,15630.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,11353.0,0,0,0,0,1
