Common Name,Species,Class,Cervical,B9,node,Mammalia,Reptilia,Aves
Oriental Scops Owl,Otus sunia,Aves,12.0,43098.0,0,0,0,1
European Golden-Plover,Pluvialis apricaria,Aves,13.0,47575.0,0,0,0,1
Eurasian Woodcock,Scolopax rusticola,Aves,13.333333333333334,43692.0,0,0,0,1
Common Snipe,Gallinago gallinago,Aves,13.5,49061.0,0,0,0,1
Atlantic Puffin,Fratercula arctica,Aves,14.0,46643.0,0,0,0,1
Common Murre,Uria aalge,Aves,14.0,47132.0,0,0,0,1
Common Tern,Sterna hirundo,Aves,13.0,50539.0,0,0,0,1
Razorbill,Alca torda,Aves,12.5,47760.0,0,0,0,1
Eurasian Coot,Fulica atra,Aves,14.0,46576.0,0,0,0,1
Royal Penguin,Eudyptes schlegeli,Aves,12.0,49142.0,0,0,0,1
White Stork,Ciconia ciconia,Aves,15.666666666666666,43222.0,0,0,0,1
West African Mud Turtle,Pelusios castaneus,Reptilia,8.0,76238.0,0,0,1,0
Snapping Turtle,Chelydra serpentina,Reptilia,8.0,67564.0,0,0,1,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,3.0,17136.0,0,0,1,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,2.0,117546.0,0,0,1,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,127061.0,0,0,1,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,3.0,138831.0,0,0,1,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,3.0,119204.0,0,0,1,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,76526.0,49,2,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,73408.56969184914,57,3,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,72969.23205573436,60,4,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,74293.98780747852,56,5,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,7.0,75268.00000000001,48,2,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,7.0,74935.63273453095,63,3,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,74659.46216610333,47,8,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.999999999999999,74051.16711466243,68,9,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,63017.5,73,2,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,7.000000000000001,77967.5,72,2,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,7.0,76625.6134495418,84,3,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,7.0,79203.71142630273,87,4,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,7.0,67562.5,83,2,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.999999999999999,69954.12703853114,82,3,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,75040.62578856495,80,7,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.999999999999999,71147.52569380216,79,8,0,0
Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.000000000000001,68951.00519289877,94,10,0,0
