Common Name,Species,Class,Lumbar,B6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,13951.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,5304.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,23495.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,3001.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,2614.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,8095.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,2438.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,2441.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,8530.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,14893.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,9056.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,15735.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14583.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,15085.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,2812.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,15821.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,14677.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,4468.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,4029.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,3931.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,14934.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,8063.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,2118.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,2692.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,2658.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,2659.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,6207.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,4927.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,8700.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,15266.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,2233.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,2223.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,14978.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,2258.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,2820.0,0,1,0,0,0
