Common Name,Species,Class,Thoracic,B4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,11992.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,6891.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,16142.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,13300.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,12887.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,13010.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,12905.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,12890.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,14032.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,17282.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,10075.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,19921.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,22024.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,12734.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,11534.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,20153.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,12842.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,17249.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,12655.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,12629.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,8886.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,12972.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,12146.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,13590.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,11093.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,12701.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,12827.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,18272.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,12713.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,12669.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,20102.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,12819.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,12823.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,13664.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,17491.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,14172.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,14793.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,14337.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,20869.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,15054.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,14222.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,13291.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,13929.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,17536.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,23367.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,17953.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,16299.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,13313.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,-15557.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,23182.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,21092.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,20555.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,13518.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,12917.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,19160.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,26436.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,19735.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,20082.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,25457.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,18720.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,12260.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,11511.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,10937.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,23323.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,19962.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,21004.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,28313.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,28406.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,13894.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,23254.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,18357.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,13934.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,25110.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,19549.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,13944.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,28014.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,19029.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,19103.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,14372.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,15166.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,22618.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,19644.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,12839.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,19515.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,21623.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,22009.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,27919.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,23551.0,0,0,1,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,17379.0,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,16497.5,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,14410.564736581762,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,15582.084326455473,87,4,0,0,0
Cattle+Sheep,Bos taurus+Ovis aries,Mammalia+Mammalia,13.0,12642.000000000002,82,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.100584156052223,14275.225902673783,80,6,0,0,0
Alpaca+Two-Humped Camel+Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Sheep,Vicugna pacos+Camelus ferus+Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.066788717952198,15318.06813051116,94,8,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,13461.0,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,13185.042150719333,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,13115.733656370216,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,13013.70001853026,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,14998.000000000002,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,15813.388651268891,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,14608.373901638386,47,8,0,0,0
