Common Name,Species,Class,Lumbar,A9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,4522.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,4529.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,12422.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,14618.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,6453.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,5355.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,18376.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,11241.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,11244.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,19024.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,6246.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,3690.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,2507.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,12958.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,3005.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,4761.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,15848.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,12067.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,5049.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,11955.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,5065.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,1335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,13010.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,16122.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,30459.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,17757.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,16160.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,12709.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,3398.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,11898.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,17423.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,17839.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,1242.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,12037.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,5727.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,11574.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,13330.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,5725.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,6533.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,6463.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,13576.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,18042.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,12019.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,13894.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,13959.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,12690.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,4419.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,10704.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,12425.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,5276.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,12285.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,5474.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,12322.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,6555.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,5323.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,11758.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,1637.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,1993.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,11632.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,12194.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,17086.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,5977.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,12883.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,7549.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,10914.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,6101.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,4869.0,0,0,0,0,1
