Common Name,Species,Class,Lumbar,B7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,8327.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,799.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,15771.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,1276.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,2340.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,1306.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,2185.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,2177.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,1193.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,6828.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,1252.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,7975.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,7174.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,18393.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,1306.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,7837.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,7304.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,1295.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,1212.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-13556.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,18541.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,293.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,-10170.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,1355.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,280.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,-331.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,226.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,47.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,1328.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,8060.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,90.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,-2808.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,18280.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,10907.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,1465.0,0,1,0,0,0
