Common Name,Species,Class,Caudal,C6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,15739.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,19152.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,25455.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,21795.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,13204.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,16408.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,32165.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,16724.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,5985.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,3793.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,20719.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,3911.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,3960.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,21322.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,4493.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,7434.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,3951.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,20869.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,21891.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,4119.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,23419.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,4548.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,21713.0,0,1,0,0,0
