Common Name,Species,Class,Caudal,D4
(Fox)-(Ermine),(Vulpes vulpes)-(Mustela erminea),(Mammalia)-(Mammalia),0.4211693151426613,724.8323913605201
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,410.1754733268665
(Cat)-(Lion+Leopard),(Felis catus)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),-0.2115419992637557,-2725.5071185142283
(Fox+Ermine)-(Cat+Lion+Leopard),(Vulpes vulpes+Mustela erminea)-(Felis catus+Panthera leo+Panthera pardus),(Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-0.2800395510366502,973.4438336225355
(Fox+Ermine+Cat+Lion+Leopard)-(Horse),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus)-(Equus caballus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),0.37812338095830605,1154.4758159512112
(North Pacific Minke Whale)-(Orca),(Balaenoptera acutorostrata scammoni)-(Orcinus orca),(Mammalia)-(Mammalia),-0.5666641441745818,3124.127936989737
(North Pacific Minke Whale+Orca)-(Cattle),(Balaenoptera acutorostrata scammoni+Orcinus orca)-(Bos taurus),(Mammalia+Mammalia)-(Mammalia),0.06553366736112283,-631.1396272009655
(Alpaca)-(North Pacific Minke Whale+Orca+Cattle),(Vicugna pacos)-(Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus),(Mammalia)-(Mammalia+Mammalia+Mammalia),-0.9673787625256849,1465.447840911
(Fox+Ermine+Cat+Lion+Leopard+Horse)-(Alpaca+North Pacific Minke Whale+Orca+Cattle),(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus)-(Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),0.16320432296657172,-1556.9382444807025
(Western European Hedgehog)-(Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle),(Erinaceus europaeus)-(Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),-0.6225778375064387,378.34818958398756
(Guinea Pig)-(House Mouse),(Cavia porcellus)-(Mus musculus),(Mammalia)-(Mammalia),-2.0779918684157073,1881.558024854451
(Rabbit)-(Guinea Pig+House Mouse),(Oryctolagus cuniculus)-(Cavia porcellus+Mus musculus),(Mammalia)-(Mammalia+Mammalia),-0.705882161822247,-748.0713068267729
(Human)-(Chimpanzee),(Homo sapiens)-(Pan troglodytes),(Mammalia)-(Mammalia),0.6207711542669869,4572.9107079077585
(Human+Chimpanzee)-(Pig-Tailed Macaque),(Homo sapiens+Pan troglodytes)-(Macaca nemestrina),(Mammalia+Mammalia)-(Mammalia),-1.9034178611395818,-3347.2379951786556
(Common Marmoset)-(Human+Chimpanzee+Pig-Tailed Macaque),(Callithrix jacchus)-(Homo sapiens+Pan troglodytes+Macaca nemestrina),(Mammalia)-(Mammalia+Mammalia+Mammalia),1.1296921382360132,1367.077610125264
(Rabbit+Guinea Pig+House Mouse)-(Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque),(Oryctolagus cuniculus+Cavia porcellus+Mus musculus)-(Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina),(Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),0.18314573579710292,-558.791491584694
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle)-(Rabbit+Guinea Pig+House Mouse+Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus)-(Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia),0.42958041341461406,-737.1033681510603
(African Bush Elephant)-(Linne'S Two-Toed Sloth),(Loxodonta africana)-(Choloepus didactylus),(Mammalia)-(Mammalia),1.1498051245456848,496.7876766240199
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque)-(African Bush Elephant+Linne'S Two-Toed Sloth),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina)-(Loxodonta africana+Choloepus didactylus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),0.48289314791419125,64.66752610444499
(Short-Beaked Echidna)-(Platypus),(Tachyglossus aculeatus)-(Ornithorhynchus anatinus),(Mammalia)-(Mammalia),-0.8275314991313601,510.69037640144063
(Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+Alpaca+North Pacific Minke Whale+Orca+Cattle+Rabbit+Guinea Pig+House Mouse+Common Marmoset+Human+Chimpanzee+Pig-Tailed Macaque+African Bush Elephant+Linne'S Two-Toed Sloth)-(Short-Beaked Echidna+Platypus),(Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Vicugna pacos+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Homo sapiens+Pan troglodytes+Macaca nemestrina+Loxodonta africana+Choloepus didactylus)-(Tachyglossus aculeatus+Ornithorhynchus anatinus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia),-0.06757271129453658,238.44704008746774
(Golden Pheasant)-(Common Pheasant),(Chrysolophus pictus)-(Phasianus colchicus),(Aves)-(Aves),-0.19253189751253447,882.9512819924831
(Chicken)-(Golden Pheasant+Common Pheasant),(Gallus gallus)-(Chrysolophus pictus+Phasianus colchicus),(Aves)-(Aves+Aves),0.06204550654002743,-217.15927289009602
(Black Swan)-(Mute Swan),(Cygnus atratus)-(Cygnus olor),(Aves)-(Aves),-0.7071067811865475,-119.50104602052653
(Bar-Headed Goose)-(Swan Goose),(Anser indicus)-(Anser cygnoides),(Aves)-(Aves),-0.3434200392942413,-2862.406027517501
(Black Swan+Mute Swan)-(Bar-Headed Goose+Swan Goose),(Cygnus atratus+Cygnus olor)-(Anser indicus+Anser cygnoides),(Aves+Aves)-(Aves+Aves),0.47709147802920593,-307.24691185080917
(Eastern Spot-Billed Duck)-(Mallard),(Anas zonorhyncha)-(Anas platyrhynchos),(Aves)-(Aves),-0.09947787782771403,924.7463522864296
(Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose)-(Eastern Spot-Billed Duck+Mallard),(Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides)-(Anas zonorhyncha+Anas platyrhynchos),(Aves+Aves+Aves+Aves)-(Aves+Aves),0.0934063330501808,503.91047861313575
(Chicken+Golden Pheasant+Common Pheasant)-(Black Swan+Mute Swan+Bar-Headed Goose+Swan Goose+Eastern Spot-Billed Duck+Mallard),(Gallus gallus+Chrysolophus pictus+Phasianus colchicus)-(Cygnus atratus+Cygnus olor+Anser indicus+Anser cygnoides+Anas zonorhyncha+Anas platyrhynchos),(Aves+Aves+Aves)-(Aves+Aves+Aves+Aves+Aves+Aves),-0.07958454331932754,-2.498489443079179
(Steller'S Sea Eagle)-(Oriental Scops Owl),(Haliaeetus pelagicus)-(Otus sunia),(Aves)-(Aves),0.16852815890835982,133.30577369651263
(Kakapo)-(Budgerigar),(Strigops habroptila)-(Melopsittacus undulatus),(Aves)-(Aves),0.10862264133160876,-2512.9848072067684
(Kakapo+Budgerigar)-(Barn Swallow),(Strigops habroptila+Melopsittacus undulatus)-(Hirundo rustica),(Aves+Aves)-(Aves),0.0474782631331709,1770.4169539728096
