Common Name,Species,Class,Cervical,B5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,6208.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,429.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,7235.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,6311.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,6797.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,2215.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,1718.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,1952.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,129.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,1969.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,1962.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,3134.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,6217.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,1663.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,25031.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,12461.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,13097.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,1915.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,-10472.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,14411.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,38.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,8733.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,90.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,807.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,120.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,8270.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,1809.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,110.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,1914.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,1943.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,432.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,84.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,1720.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,1704.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,13729.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,1759.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,99.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,9161.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,1764.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,1603.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,2457.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,14591.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,2598.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,4038.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,-10496.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,15297.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,2844.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,2292.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,2384.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,2315.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,7178.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,9544.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,7389.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,2903.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,1732.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,-10229.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,7719.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,-9183.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,3061.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,2738.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,16019.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,7768.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,9145.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,7903.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,305.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,1632.0,0,0,1,0,0
