Common Name,Species,Class,Caudal,A11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,8592.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,22325.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,25336.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,13413.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,19017.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,17712.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,19536.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,14773.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,11073.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,19038.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,5849.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,9348.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,20503.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,7472.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,9477.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,17566.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,18780.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,18175.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,8076.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,18934.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,18962.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,8962.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,18578.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,17180.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,22121.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,15230.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,20524.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,20213.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,19446.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,39228.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,20451.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,19310.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,13411.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,20826.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,13706.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,20550.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,14788.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,5611.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,18631.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,21546.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,14194.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,45705.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,65207.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,22659.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,22993.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,28234.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,4960.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,15027.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,20509.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,15241.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,13430.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,18098.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,18356.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,19314.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,18278.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,18096.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,18176.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,18249.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,18269.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,15146.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,19188.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,23927.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,24057.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,18038.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,24170.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,28862.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,12923.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,18623.999999999996,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,18807.48579992446,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,15282.74668619226,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,16565.95253034925,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,14925.500000000002,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,11850.253494304365,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,11112.48261635447,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,9794.347496209897,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,13235.747799155832,92,11,0,0,0
