Common Name,Species,Class,Cervical,B4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,11992.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,6891.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,16142.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,19391.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,17476.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,12262.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,13300.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,12887.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,13010.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,12905.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,12890.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,14032.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,17282.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,10075.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,19921.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,22024.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,12734.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,11534.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,20153.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,12842.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,17249.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,12655.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,12629.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,8886.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,12972.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,12146.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,13590.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,11093.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,12701.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,12827.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,18272.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,12713.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,12669.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,20102.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,12819.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,12823.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,13664.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,17491.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,33589.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,14172.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,14793.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,14337.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,20869.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,15054.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,14222.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,13291.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,13929.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,17536.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,23367.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,22187.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,17953.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,16299.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,13313.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,1270.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,1840.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,12899.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,-15557.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,23182.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,21092.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,20555.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,13518.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,12917.0,0,0,1,0,0
