Common Name,Species,Class,Cervical,C4,node,Mammalia,Reptilia,Aves,Amphibia
Komodo Dragon,Varanus komodoensis,Reptilia,4.0,25493.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.5,20047.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,21856.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,52082.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,87511.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,40153.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,15.0,21798.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,13.0,25131.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,17.0,19752.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,20720.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,14.0,18851.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,13.0,19252.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,12.0,18440.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,13.0,20685.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,13.0,19948.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,13.0,10276.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,12.0,526.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,22366.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,14.0,21775.0,0,0,0,1,0
Razorbill,Alca torda,Aves,12.5,188.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,14.0,-591.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,12.0,3143.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,8.0,24280.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,8.0,19192.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,3.0,24536.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,2.0,30132.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,27380.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,3.0,33488.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,3.0,24415.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.25,20951.5,25,0,0,0,2
