Common Name,Species,Class,Lumbar,C6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,15739.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,19152.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,25455.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,21795.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,20740.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,13204.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,16482.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,16408.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,32165.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,16724.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,5985.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,21304.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,3793.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,20719.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,3903.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,3911.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,3960.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,21322.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,21283.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,21261.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,4493.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,21248.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,7434.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,7514.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,3951.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,20869.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,21617.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,21891.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,21820.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,4119.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,23419.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,4548.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,21713.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,6393.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,21277.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,16527.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,16274.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,18694.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,27813.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,19754.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,16809.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,22928.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,24262.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,17889.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,30712.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,30030.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,4994.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,23362.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,21387.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,15974.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,19719.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,14475.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,22527.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,9021.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,20333.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,21322.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,24251.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,22956.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,18664.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,19121.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,27196.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,17957.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,21217.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,19094.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,30432.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,22052.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,21674.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,19258.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,22584.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,26632.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,25350.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,23686.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,7947.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,23604.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,63779.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,23135.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,22892.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,21364.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,8873.0,0,0,1,0,0
