Common Name,Species,Class,Cervical,C11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,17640.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,23422.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,18216.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,23078.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,150347.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,-6583.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,83876.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,19999.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,21110.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,15411.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,16829.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,16826.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,15777.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,16414.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,15653.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,21363.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,14032.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,23695.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,14343.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,16612.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,12032.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,21384.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,16955.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,20603.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,21499.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,21423.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,11896.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,21418.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,14841.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,15427.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,15917.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,21223.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,21616.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,23015.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,21476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,14170.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,22794.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,13551.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,21536.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,16396.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,20503.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,18484.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,18397.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,35191.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,18709.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,23224.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,24381.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,19361.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,18060.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,23515.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,23945.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,24074.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,19931.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,27574.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,18271.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,27278.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,24778.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,18111.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,22481.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,21310.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,16613.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,18286.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,18673.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,21682.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,20828.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,21965.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,17392.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,28859.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,23695.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,21020.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,4.0,29134.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,4.0,22625.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,788235.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,22707.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,21664.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,20786.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,15.0,18781.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,13.0,24764.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,17.0,17460.0,0,0,0,1,0
