Common Name,Species,Class,Thoracic,C6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,15739.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,19152.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,25455.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,21795.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,20740.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,13204.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,16482.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,16408.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,32165.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,16724.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,5985.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,21304.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,3793.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,20719.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,3903.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,-21962.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,3911.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,21640.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,3960.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,21322.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,21283.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,21261.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,4493.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,21248.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,7434.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,7514.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,3951.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,20869.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,21617.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,21891.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,21820.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,4119.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,23419.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,4548.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,21713.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,6393.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,21277.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,16527.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,16274.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,18694.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,27813.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,19754.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,16809.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,22928.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,24262.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,17889.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,30712.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,30030.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,4994.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,19719.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,14475.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,22527.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,9021.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,27515.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,6588.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,5840.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,25774.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,20473.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,20333.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,21322.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,24251.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,22956.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,18664.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,27196.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,17957.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,21217.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,30432.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,22052.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,21674.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,22584.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,26632.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,25350.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,23686.0,0,0,0,1,0
