Common Name,Species,Class,Cervical,D11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,18749.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,18999.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,34672.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,22942.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,96651.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,107004.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,6473.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,4563.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,6139.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,6147.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,4619.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,9345.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,4813.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,6077.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,2939.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,9297.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,5240.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,13028.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,5818.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,10209.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,9826.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,10181.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,6181.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,23868.0,0,1,0,0,0
