Common Name,Species,Class,Thoracic,A7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,3377.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,3447.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,11516.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,14102.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,7006.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,5777.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,12683.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,11937.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,11629.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,13545.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,6955.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,5428.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,5068.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,10880.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,4386.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,4534.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,11719.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,1393.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,11361.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,10669.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,5218.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,14048.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,3701.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,5625.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,14198.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,10067.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,13614.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,11747.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,15186.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,5705.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,11795.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,11821.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,15018.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,4289.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,12204.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,5696.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,10979.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,14230.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,6653.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,6182.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,12790.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,26983.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,12349.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,19548.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,12392.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,13424.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,5682.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,11271.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,12635.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,12461.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,5822.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,12166.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,6731.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,13068.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,6366.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,27291.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,53157.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,11373.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,5818.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,14623.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,7097.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,14762.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,8493.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,12388.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,10046.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,10542.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,8862.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,8520.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,8194.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,13149.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,11319.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,22385.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,14531.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,13250.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,12040.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,12583.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,14340.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,22790.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,23699.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,22856.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,22765.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,20432.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,22651.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,22721.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,19852.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,21951.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,22642.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,10973.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,11861.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,10088.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,6791.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,8399.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,12582.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,8529.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,12586.999999999998,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,12264.387406416485,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,12430.138389580381,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,9462.302681822452,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,5248.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,5857.399486740804,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,7408.986856231348,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,8497.07821700278,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,4460.0,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,6377.0,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,8623.078004871606,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,9467.500186182864,87,4,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,12.999999999999998,8874.5,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,12.999999999999998,7223.724300823199,82,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.109629454486011,8457.613604144375,80,7,0,0,0
