Common Name,Species,Class,Thoracic,C12,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,296724.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,269060.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,111084.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,60213.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,16621.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,17841.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,7861.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,9189.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,9184.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,11281.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,9559.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,8165.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,17538.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,6396.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30702.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,7804.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,8116.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,6051.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,20377.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,9518.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,17481.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,17783.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,17525.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,8166.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,17741.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,6821.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,8720.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,8012.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,18135.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,17371.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,19903.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,20150.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,8359.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,17693.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,8346.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,18625.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,8950.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,17510.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,11859.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,11698.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,9961.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,17051.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,10396.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,9065.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,16734.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,15360.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,15136.0,0,0,0,1,0
