Common Name,Species,Class,Thoracic,D1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,79035.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,89857.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,120788.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,30682.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,21417.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,19756.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,13921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,14123.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,13767.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,18891.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,20846.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,12866.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,12164.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,10310.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,21417.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,8583.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,51746.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,13974.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,35838.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,31893.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,21432.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,13157.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,20795.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,12725.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,20414.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,15322.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,15347.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,14709.0,0,1,0,0,0
