Common Name,Species,Class,Cervical,A2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,4459.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,4255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,33952.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,51356.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,52426.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,2687.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,55994.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,4240.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,4631.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,26291.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,22234.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,22261.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,25699.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,5550.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,3873.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,4007.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,52258.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,3638.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,3607.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,10726.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,-14838.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,40380.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,23164.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,4329.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,13457.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,4346.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,2276.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,39663.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,10369.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,50550.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,50650.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,26244.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,51629.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,2914.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,26246.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,52229.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,55945.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,1453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,26662.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,4187.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,26814.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,27328.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,5035.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,3949.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,4455.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,51508.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,56777.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,50027.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,50723.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,50890.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,52003.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,209.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,9691.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,53499.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,72.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,40438.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,790.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,51950.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,4447.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,3050.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,4258.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,51253.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,4101.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,5134.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,51155.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,38439.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,50275.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,3266.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,12326.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,4294.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,38815.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,4.0,4753.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,4.0,11260.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.5,234652.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,80667.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,17211.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,30642.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,38890.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,15.0,4782.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,13.0,33148.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,17.0,20418.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,40203.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,14.0,40475.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,13.0,12147.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,12.0,10169.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,13.0,29950.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,13.0,8901.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,13.0,27944.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,12.0,10936.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,21286.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,13.333333333333334,9864.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,13.5,22422.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,14.0,21336.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,14.0,11291.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,13.0,21300.0,0,0,0,1,0
Razorbill,Alca torda,Aves,12.5,21340.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,14.0,21528.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,12.0,32409.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,15.666666666666666,21366.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,8.0,37951.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,8.0,36472.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,3.0,6804.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,2.0,3760.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,7187.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,3.0,8976.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,3.0,4815.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.25,157659.5,25,0,0,0,2
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,4357.0,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,18817.504140875448,36,0,0,0,3
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,34283.5,35,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,25332.680719364802,34,0,0,0,5
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,34766.0,43,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,28961.308144577048,33,0,0,0,7
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.095185156109101,77961.93807544693,51,0,0,0,9
Gaboon Caecilian+Tiny Cayenne Caecilian,Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia,1.0,29340.500000000004,14,0,0,0,2
Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia,1.0,39070.66670017032,13,0,0,0,3
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog+Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus+Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.060583304992181,63824.1246086852,50,0,0,0,12
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,23979.999999999996,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,23113.412940927974,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,24371.588607888625,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,15565.695759724618,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,7.0,3940.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,7.0,4514.770459081837,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.0,9271.202238180551,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.999999999999999,22746.68081878887,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,3622.5,73,2,0,0,0
