Common Name,Species,Class,Thoracic,C9,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,10806.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,19655.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,10117.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,16375.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,17935.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,18057.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,9921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,10727.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,10751.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,14576.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,10154.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,9728.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,18249.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,10398.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,18419.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,9549.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,8964.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,9859.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,18301.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,9748.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,17850.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,18192.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,18232.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,9515.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,18433.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,9686.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,9851.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,5134.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,17796.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,18162.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,18174.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,9882.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,18191.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,8900.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,18210.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,10558.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,17953.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,11285.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,11293.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,10780.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,17736.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,18362.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,11225.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,10675.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,18126.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,19843.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,18124.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,11139.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,21280.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,21436.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,22635.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,-53584.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,17919.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,11355.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,11317.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,11006.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,18208.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,8383.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,20602.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,232.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,265.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,21071.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,11712.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,14278.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,15675.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,11239.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,15437.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,16276.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,17346.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,13287.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,15592.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,-2787.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,14457.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,16146.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,16064.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,14565.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,16324.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,18159.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,18184.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,16894.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,12285.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,15009.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,16878.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,17572.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,22128.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,16488.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,18454.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,8491.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,11820.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,16054.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,17149.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,17581.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,10215.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,12663.5,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,11702.362634654652,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,10997.026453681556,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,14146.343416546024,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,13988.5,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,12619.58240661534,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,13276.716030195326,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,12374.297654686421,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,13983.999999999998,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,14079.999999999998,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,11928.945137977695,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,11028.794274398104,87,4,0,0,0
