Common Name,Species,Class,Caudal,B7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,8327.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,15771.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,1276.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,1306.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,2177.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,1193.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,6828.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,1252.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,7174.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,18393.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,7837.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,7304.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,1295.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,18541.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,-10170.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,280.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,-331.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,47.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,8060.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,90.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,-2808.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,18280.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,10907.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,1465.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,2452.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,8453.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,299.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,2439.0,0,0,0,1,0
