Common Name,Species,Class,Thoracic,A2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,4459.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,4255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,33952.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,51356.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,4240.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,4631.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,26291.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,22234.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,22261.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,25699.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,5550.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,3873.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,4007.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,52258.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,3638.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,3607.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,10726.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-14838.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,40380.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,23164.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,4329.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,13457.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,4346.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,2276.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,39663.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,10369.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,50550.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,50650.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,26244.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,51629.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,2914.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,26246.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,52229.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,55945.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,1453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,26662.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,4187.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,26814.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,27328.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,5035.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,4455.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,51508.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,56777.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,50027.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,50723.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,50890.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,52003.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,209.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,9691.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,53499.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,40438.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,790.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,51950.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,4447.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,4101.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,5134.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,51155.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,38439.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,50275.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,3266.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,12326.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,4294.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,38815.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,4753.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,11260.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,234652.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,80667.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,17211.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,30642.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,38890.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,33148.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,20418.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,40203.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,12147.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,10169.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,29950.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,8901.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,10936.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,21286.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,9864.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,22422.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,21336.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,11291.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,21300.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,21340.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,21528.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,32409.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,21366.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,37951.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,36472.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,6804.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,3760.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,7187.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,8976.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,4815.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,23979.999999999996,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,23113.412940927974,57,3,0,0,0
