Common Name,Species,Class,Lumbar,C11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,17640.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,23422.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,18216.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,23078.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,19999.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,21110.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,15411.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,16829.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,16826.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,15777.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,16414.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,15653.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,21363.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,14032.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,23695.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,14343.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,12032.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,16955.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,20603.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,21499.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,21423.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,11896.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,21418.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,14841.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,15427.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,15917.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,21223.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,21616.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,23015.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,21476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,14170.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,22794.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,13551.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,21536.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,16396.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,20503.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,18484.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,18397.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,35191.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,18709.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,23224.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,24381.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,19361.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,18060.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,23515.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,23945.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,24074.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,19931.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,27574.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,18271.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,27278.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,24778.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,18111.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,22481.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,21310.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,16613.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,18286.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,18673.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,21682.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,20828.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,21965.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,17392.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,788235.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,22707.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,21664.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,20786.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,18781.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,24764.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,17460.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,23224.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,18553.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,19220.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,18413.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,20949.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,20919.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,18660.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,18588.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,21218.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,22199.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,21899.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,21562.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,20390.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,18932.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,35160.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,21838.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,40371.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,21737.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,22776.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,17365.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,22813.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,29679.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,27299.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,16301.500000000002,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,16563.3125278697,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,16107.050730365096,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,18338.7691491158,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,18508.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,17760.44140290847,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,18009.35960622264,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,16762.5390247502,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,19019.000000000004,73,2,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,14493.5,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,21461.000000000004,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,21073.644455109068,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,17580.65870684032,80,5,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,15916.346122248753,79,6,0,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,16768.18453187681,94,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.86512758978104,16765.270423013728,92,17,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.345660193470834,17608.842390877562,78,18,0,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.186800600243894,18057.84007158317,98,19,0,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,6.240960777110775,15680.85843843144,97,2,0,0,0
Norway Rat+House Mouse+Guinea Pig,Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia,6.125915293156113,18326.925428009523,77,3,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia+Mammalia,6.431449463165332,17108.42872623489,71,4,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,4.51729047908524,18332.886908368888,67,2,0,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,4.690013840493477,19457.55720168309,66,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,7.0,16853.15519894425,46,2,0,0,0
Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.777655625873242,18231.29165353338,32,5,0,0,0
Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.862373926495981,20053.99413197082,106,6,0,0,0
Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.306312111167969,20663.538924983524,104,7,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.3740052651430625,18740.39912506678,103,11,0,0,0
