Common Name,Species,Class,Cervical,D3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,18681.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,18601.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,24887.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,-24611.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,-14530.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,35087.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,56727.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,15252.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,20559.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,4229.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,12331.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,12345.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,-3196.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,20693.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,11450.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,15438.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,5974.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,24763.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,12263.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,27554.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,12242.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,35738.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,20497.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,41786.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,20043.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,36876.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,33954.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,36606.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,9867.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,4666.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,-17167.0,0,1,0,0,0
