Common Name,Species,Class,Thoracic,B8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,10168.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,4156.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,5834.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,11795.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,7253.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,7863.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,4051.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,8326.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,8351.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,5993.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,13624.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,6049.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,14680.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,14071.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,14516.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,-25458.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,6221.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,15954.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,5992.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,13488.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,4928.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,-3904.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,-4681.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,35830.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,-3816.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,3621.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,7495.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,2806.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,-4678.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,2455.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,5895.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,14012.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,4291.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,6070.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,14291.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,8112.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,7843.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,28286.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,8635.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,6896.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,7128.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,15189.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,8743.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,5313.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,6700.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,155.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,18807.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,9523.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,8000.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,1247.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,14525.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,10220.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,15276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,16011.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,30461.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,6261.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,6006.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,6431.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,48530.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,5768.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,5901.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,15180.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,15062.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,16800.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,5905.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,-22866.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,8634.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,12147.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,9428.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,10851.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,14866.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,10353.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,9386.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,9465.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,14555.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,9391.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,15280.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,11247.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,9502.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,10239.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,14760.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,10743.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,9722.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,9376.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,14098.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,15827.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,6092.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,14025.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,12474.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,15882.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,16048.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,14486.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,7172.0,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,7744.7614353775025,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,6282.204888175669,60,4,0,0,0
