Common Name,Species,Class,Thoracic,C11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,17640.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,23422.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,18216.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,23078.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,19999.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,21110.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,15411.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,16829.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,16826.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,15777.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,16414.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,15653.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,21363.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,14032.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,23695.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,14343.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,16612.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,12032.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,21384.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,16955.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,20603.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,21499.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,21423.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,11896.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,21418.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,14841.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,15427.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,15917.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,21223.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,21616.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,23015.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,21476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,14170.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,22794.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,13551.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,21536.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,16396.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,20503.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,18484.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,18397.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,18709.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,23224.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,24381.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,19361.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,18060.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,23515.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,23945.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,24074.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,19931.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,27574.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,27278.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,24778.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,18111.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,18286.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,18673.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,21682.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,20828.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,21965.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,17392.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,28859.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,23695.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,21020.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,29134.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,22625.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,788235.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,22707.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,21664.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,20786.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,24764.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,17460.0,0,0,0,1,0
