Common Name,Species,Class,Thoracic,A11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,8592.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,8270.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,22325.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,25336.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,13413.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,13104.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,19017.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,17711.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,17712.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,19536.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,14773.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,11073.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,11474.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,19038.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,5849.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,10923.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,18853.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,9348.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,18942.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,20503.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,7472.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,18625.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,1921.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,9477.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,21481.0,0,1,0,0,0
