Common Name,Species,Class,Caudal,B1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,70253.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,115305.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,25946.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,16053.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,8900.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,9204.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,13537.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,10785.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,13917.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,12771.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,13007.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,13743.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,9249.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,15546.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,11123.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,11726.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,9224.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,12030.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,16583.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,9897.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,11754.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,17035.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,555.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,9375.0,0,1,0,0,0
