Common Name,Species,Class,Sacral,C10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,9233.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,26958.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,12296.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,16826.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,18318.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,8643.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,20209.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,16894.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,17344.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,8904.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,10030.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,10033.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,9664.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,10087.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,9687.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,8761.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,17333.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,8708.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,8736.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,16831.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,17345.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,17372.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,8779.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,16379.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,8348.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,9003.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,10095.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,17349.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,17171.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,17276.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,17154.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,7503.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,17350.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,7434.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,17134.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,8634.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,16307.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,11825.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,11953.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,18167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,18428.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,11542.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,10592.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,17203.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,19155.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,17632.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,24397.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,22047.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,37569.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,12012.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,11276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,10380.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,10568.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,17289.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,9342.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,14324.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,15510.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,19401.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,16575.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,17309.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,16715.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,15490.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,14518.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,12288.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,14992.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,15841.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,16896.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,15717.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,12.5,18928.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,12.0,12973.0,0,0,0,1,0
Razorbill,Alca torda,Aves,17.0,15511.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,15.0,15719.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,15.0,12910.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,13.0,15451.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,3.0,17477.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,2.0,9218.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,2.0,17884.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,13811.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,2.0,19936.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.0,14917.0,25,0,0,0,2
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,18095.5,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,15261.788435039463,36,0,0,0,3
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,18113.5,35,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,16463.095131735412,34,0,0,0,5
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,16942.0,43,0,0,0,2
