Common Name,Species,Class,Caudal,B8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,10168.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,5834.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,11795.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,7253.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,4051.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,8351.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,5993.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,13624.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,6049.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,14071.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,14516.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,15954.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,13488.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,4928.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,35830.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,3621.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,2806.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,2455.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,14012.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,4291.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,6070.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,14291.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,8112.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,7843.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,28286.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,6896.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,7128.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,15189.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,8743.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,5313.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,6700.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,155.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,8000.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,1247.0,0,0,0,1,0
