Common Name,Species,Class,Thoracic,D11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,18749.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,18999.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,34672.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,6473.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,4563.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,6139.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,6147.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,4619.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,9345.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,4813.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,6077.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,2939.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,9297.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,5240.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,13028.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,5818.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,10209.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,9826.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,10181.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,6181.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,23868.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,4327.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,11334.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,4749.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,6042.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,1853.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,10169.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,9823.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,9796.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,4817.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,4791.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,2795.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,5762.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,9831.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,10164.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,6570.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,6901.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,6623.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,9043.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,9060.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,12925.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,8210.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,8632.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,8753.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,9475.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,3059.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,5204.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,5590.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,5666.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,5695.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,9484.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,8937.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,2790.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,7071.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,8450.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,8321.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,22521.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,6390.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,14045.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,12182.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,13555.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,21499.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,8813.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,206.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,18075.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,26162.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,30304.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,12565.0,0,0,0,1,0
