Common Name,Species,Class,Caudal,A6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,4531.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,12112.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,10652.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,7250.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,12515.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,11286.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,12762.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,6245.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,1097.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,17498.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,8861.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,6899.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,11423.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,1088.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,4417.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,14347.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,13715.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,19977.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,5876.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,11279.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,15053.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,2550.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,15142.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,7120.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,30373.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,12830.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,6507.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,11489.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,11439.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,12001.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,6272.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,11788.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,12115.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,2963.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,11024.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,5602.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,15595.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,-6370.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,5164.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,5245.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,10569.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,23014.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,1069.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,11353.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,14678.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,9455.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,9345.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,8023.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,2249.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,4992.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,8125.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,5411.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,6146.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,9565.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,3579.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,8068.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,9539.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,9548.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,9538.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,9583.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,8016.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,5477.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,8129.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,10284.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,10417.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,5039.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,8017.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,10413.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,3671.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,12023.999999999998,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,12253.240528658805,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,7112.577452335345,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,10661.375307916003,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,9161.0,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,5830.153412426261,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,5390.847861516619,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,6259.878831955695,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,8496.765246538267,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,8224.769330540275,98,12,0,0,0
Guinea Pig+House Mouse,Cavia porcellus+Mus musculus,Mammalia+Mammalia,17.821644384016917,16827.68828029739,77,2,0,0,0
Rabbit+Guinea Pig+House Mouse,Oryctolagus cuniculus+Cavia porcellus+Mus musculus,Mammalia+Mammalia+Mammalia,15.030739625546834,15942.533652210428,71,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,15.827089592722418,7757.356075780336,46,2,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,3.03458095817048,13100.745731932304,67,2,0,0,0
Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia,9.284569185616926,10490.145778502714,32,4,0,0,0
Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.026365567206108,8713.055878118017,106,5,0,0,0
Rabbit+Guinea Pig+House Mouse+Common Marmoset+Rhesus Monkey+Pig-Tailed Macaque+Human+Chimpanzee,Oryctolagus cuniculus+Cavia porcellus+Mus musculus+Callithrix jacchus+Macaca mulatta+Macaca nemestrina+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,14.280206798603656,13235.473875352107,103,8,0,0,0
