Common Name,Species,Class,Thoracic,D3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,18681.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,18601.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,24887.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,-24611.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,15252.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,20559.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,4229.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,12331.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,12345.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,-3196.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,20693.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,11450.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,15438.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,5974.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,24763.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,12263.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,27554.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,12242.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,35738.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,20497.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,41786.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,20043.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,36876.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,33954.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,36606.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,9867.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,4666.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,-17167.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,22273.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,22886.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,36690.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,12908.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,-697.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,-3127.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,20398.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,37486.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,21203.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,-6.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,16424.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,-10068.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,17584.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,22973.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,17353.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,15440.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,16866.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,17711.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,18412.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,-12874.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,12669.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,3404.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,9067.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,-6802.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,32592.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,30812.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,-14050.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,16158.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,26130.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,34624.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,37962.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,-19636.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,30978.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,30656.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,31526.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,30680.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,21935.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,47334.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,41202.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,5371.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,16724.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,16147.0,0,0,0,0,1
