Common Name,Species,Class,Caudal,C12,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,296724.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,111084.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,60213.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,16621.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,7861.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,9184.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,11281.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,9559.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,8165.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,6396.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,30702.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,6051.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,9518.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,17481.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,8166.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,6821.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,8012.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,18135.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,19903.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,8359.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,17693.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,8346.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,18625.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,8950.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,17510.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,11859.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,11698.0,0,1,0,0,0
Chicken,Gallus gallus,Aves,6.0,17051.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,10396.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,9065.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,16734.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,15360.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,15136.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,24901.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,10651.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,14938.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,10802.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,10093.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,8976.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,15290.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,8051.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,62833.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,60582.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,330069.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,106998.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,17120.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,11804.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,13598.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,14137.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,11791.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,12099.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,15621.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,15610.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,12154.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,13713.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,9106.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,14569.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,9136.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,11959.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,14757.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,8608.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,13856.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,18257.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,17507.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,8862.0,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,10232.5,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,9125.28225312758,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,8967.579220593754,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,8088.846094270354,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,7784.500000000001,87,2,0,0,0
