Common Name,Species,Class,Thoracic,D10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,11674.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,11784.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,15315.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,13914.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,7580.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,19037.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,1826.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,6456.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,6461.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,-7782.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,11998.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,2465.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,-2056.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,-359.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,13787.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,448.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,17381.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-946.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,12820.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,12544.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,12604.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,6720.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,14105.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,607.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,13161.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,7602.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,7259.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,-2743.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,12957.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,12718.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,12522.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,6977.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,1099.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,4998.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,7045.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,12934.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,13014.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,7493.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,7807.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,7555.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,11374.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,12276.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,12103.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,12070.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,11648.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,12487.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,13107.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,7060.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,7368.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,7802.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,7747.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,7841.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,12576.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,5.0,12288.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,16824.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,7637.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,14419.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,12738.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,17404.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,5965.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,14845.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,14991.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,15571.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,14248.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,8840.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,-546.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,4264.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,687.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,-2428.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,11192.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,6419.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,10848.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,9635.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,10783.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,10775.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,5487.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,6448.0,0,0,0,1,0
