Common Name,Species,Class,Sacral,B4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,11992.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,6891.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,16142.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,19391.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,17476.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,12262.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,13300.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,12887.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,13010.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,12905.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,12890.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,14032.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,17282.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,10075.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,22024.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,12734.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,20153.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,12655.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,12629.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,8886.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,12972.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,12146.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,13590.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,11093.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,12701.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,12827.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,18272.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,12713.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,12669.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,20102.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,12819.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,12823.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,13664.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,17491.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,14793.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,14337.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,20869.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,15054.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,14222.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,13291.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,13929.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,23367.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,16299.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,-15557.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,23182.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,21092.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,20555.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,13518.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,12917.0,0,0,1,0,0
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,1.0,18720.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,12260.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,11511.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,10937.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,23323.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,21004.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,23254.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,18357.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,13934.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,25110.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,14.0,19549.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,12.0,13944.0,0,0,0,1,0
