Common Name,Species,Class,Caudal,A3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,-18524.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,75171.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,24799.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,2191.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,23403.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,22462.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,28108.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,18284.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,17399.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,23316.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,10380.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,-23862.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,31690.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,-11649.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,-24120.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,22017.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,22644.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,23645.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,-23967.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,23747.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,24679.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,-24749.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,24639.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,2136.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,23127.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,24676.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,-13066.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,21887.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,24199.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,22264.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,22381.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,22507.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,22399.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,-24148.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,23152.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,3418.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,32773.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,9300.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,5208.0,0,0,0,1,0
