Common Name,Species,Class,Cervical,A4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,6890.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,6620.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,12629.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,16522.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,9270.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,15788.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,10703.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,10606.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,16698.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,22223.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,22211.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,37347.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,11049.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,89.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,-9655.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,17012.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,10219.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,16721.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,10293.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,15588.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,17480.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,9384.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,15499.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-13655.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,10545.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,15880.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,18430.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,16557.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,14905.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,15386.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,16632.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,10275.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,15259.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,15156.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,15417.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,10696.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,24301.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,10368.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,15438.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,25262.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,10635.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,8849.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,6775.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,16047.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,15898.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,15753.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,16313.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,16080.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,15463.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,10789.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,15082.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,16360.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,11008.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,16297.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,8821.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,18314.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,11620.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,11367.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,5321.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,15068.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,-2846.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,12141.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,15652.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,14631.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,17359.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,10870.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,21143.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,12458.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,17335.0,0,0,1,0,0
