Common Name,Species,Class,Thoracic,C5
(Lion)-(Leopard),(Panthera leo)-(Panthera pardus),(Mammalia)-(Mammalia),0.0,1141.0
(Tiger)-(Lion+Leopard),(Panthera tigris)-(Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia),1.7763568394002505e-15,555.5
(Cat)-(Tiger+Lion+Leopard),(Felis catus)-(Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia),0.0,-797.2096857471429
(Suricate)-(Cat+Tiger+Lion+Leopard),(Suricata suricatta)-(Felis catus+Panthera tigris+Panthera leo+Panthera pardus),(Mammalia)-(Mammalia+Mammalia+Mammalia+Mammalia),2.0,14852.44801596987
(Ermine)-(American Black Bear),(Mustela erminea)-(Ursus americanus),(Mammalia)-(Mammalia),0.0,-41274.0
(Fox)-(Ermine+American Black Bear),(Vulpes vulpes)-(Mustela erminea+Ursus americanus),(Mammalia)-(Mammalia+Mammalia),-1.0,-18524.0
(Suricate+Cat+Tiger+Lion+Leopard)-(Fox+Ermine+American Black Bear),(Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus)-(Vulpes vulpes+Mustela erminea+Ursus americanus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),0.24916140790252328,-6321.9863851423215
(Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear)-(Horse),(Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus)-(Equus caballus),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-5.24975865546765,10997.878830032352
(Alpaca)-(Two-Humped Camel),(Vicugna pacos)-(Camelus ferus),(Mammalia)-(Mammalia),0.0,16174.0
(Orca)-(Bottle-Nose Dolphin),(Orcinus orca)-(Tursiops truncatus),(Mammalia)-(Mammalia),-2.0,-16482.0
(Narwhal)-(Orca+Bottle-Nose Dolphin),(Monodon monoceros)-(Orcinus orca+Tursiops truncatus),(Mammalia)-(Mammalia+Mammalia),0.0,-7761.0
(Narwhal+Orca+Bottle-Nose Dolphin)-(North Pacific Minke Whale),(Monodon monoceros+Orcinus orca+Tursiops truncatus)-(Balaenoptera acutorostrata scammoni),(Mammalia+Mammalia+Mammalia)-(Mammalia),1.5,4514.838001533404
(Goat)-(Sheep),(Capra hircus)-(Ovis aries),(Mammalia)-(Mammalia),0.0,2550.0
(Cattle)-(Goat+Sheep),(Bos taurus)-(Capra hircus+Ovis aries),(Mammalia)-(Mammalia+Mammalia),1.7763568394002505e-15,-2062.0
(Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale)-(Cattle+Goat+Sheep),(Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni)-(Bos taurus+Capra hircus+Ovis aries),(Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia+Mammalia+Mammalia),-1.6191014491182454,-11285.67309290137
(Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep)-(Wild Boar),(Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries)-(Sus scrofa),(Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia)-(Mammalia),-2.1403705455139885,7727.9051415530885
