Common Name,Species,Class,Caudal,A5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,107.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,10278.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,5435.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,1624.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,6677.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,6673.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,9406.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,1689.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,-1273.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,9597.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,-887.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,151.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,26156.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,25.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,-256.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,6918.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,27122.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,1590.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,6722.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,6867.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,91.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,7036.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,1286.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,6399.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,7143.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,106.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,6777.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,10655.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,6536.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,10799.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,6872.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,11397.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,1126.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,9319.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,1911.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,6793.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,2001.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,9.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,1830.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,6297.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,6775.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,333.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,3870.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,3912.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,6201.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,4505.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,2595.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,5114.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,3483.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,7454.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,3697.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,2919.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,7010.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,11800.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,7157.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,7156.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,6838.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,7201.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,7156.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,7588.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,6135.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,10244.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,7781.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,7861.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,4092.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,5672.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,5840.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,207.99999999999994,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,8039.499999999999,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,7403.36920509649,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,3093.426053347644,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,5315.759248705211,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,13153.5,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,7736.799959747078,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,5252.086439791243,79,4,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.059864679747985,3714.6736597530653,94,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.356508978283102,4528.362054614178,92,11,0,0,0
Western European Hedgehog+Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar+Alpaca,Erinaceus europaeus+Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa+Vicugna pacos,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,17.860684126511917,3894.7426786907527,98,12,0,0,0
