Common Name,Species,Class,Caudal,A7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,3377.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,11516.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,14102.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,7006.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,12683.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,11629.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,13545.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,6955.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,5428.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,10880.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,4386.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,1393.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,10669.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,5218.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,5625.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,10067.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,11747.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,5705.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,11821.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,15018.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,4289.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,12204.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,5696.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,10979.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,14230.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,6653.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,12790.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,26983.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,12349.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,19548.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,12392.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,13424.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,5682.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,12635.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,5822.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,12166.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,6731.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,13068.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,6366.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,27291.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,11373.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,5818.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,10046.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,10542.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,8862.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,8520.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,8194.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,13149.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,11319.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,22385.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,12583.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,14340.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,22790.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,23699.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,22856.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,22765.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,20432.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,22651.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,22721.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,19852.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,21951.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,22642.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,10973.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,11861.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,10088.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,8399.0,0,0,1,0,0
