Common Name,Species,Class,Lumbar,C10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,9233.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,26958.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,12296.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,16826.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,16894.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,17344.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,8904.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,10030.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,10033.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,9664.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,10087.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,9687.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,17236.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,8761.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,17333.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,8708.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,8736.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,8922.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,16831.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,17345.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,17372.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,8779.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,16379.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,8348.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,9003.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,10095.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,17349.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,17171.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,17276.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,17154.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,7503.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,17350.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,7434.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,17134.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,8634.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,16307.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,11825.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,11953.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,16900.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,10881.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,18167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,18428.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,11542.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,10592.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,17203.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,19155.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,17632.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,11091.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,24397.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,11893.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,26909.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,22047.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,11127.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,37569.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,18435.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,16587.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,10448.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,12012.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,11276.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,10380.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,10568.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,17289.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,9342.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,14324.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,15510.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,19401.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,16575.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,17309.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,11938.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,16715.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,10342.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,15490.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,12528.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,30429.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,12367.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,14579.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,14518.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,12206.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,12288.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,14992.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,15841.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,16896.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,15717.0,0,0,0,1,0
