Common Name,Species,Class,Sacral,C5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,1929.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,27239.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,2863.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,6762.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,8543.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,2293.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,7999.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,18430.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,17131.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,1797.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,2874.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,2889.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,1748.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,3315.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,1202.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,1507.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,18079.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,1905.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,1869.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,15138.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,18475.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,15925.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,2335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,18272.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,2408.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,2089.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,2126.0,0,1,0,0,0
