Common Name,Species,Class,Cervical,B2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,47900.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,2128.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,4970.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,58211.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,14773.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,57895.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,2839.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,5054.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,3996.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,3712.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,5335.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,5320.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,16976.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,9919.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,5360.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,63767.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,32335.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,30714.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,3785.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,2881.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,33539.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,3779.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,36001.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,3947.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,3333.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,2349.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,30771.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,3727.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,3735.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,3793.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,3702.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,6389.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,3625.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,1227.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,3844.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,47586.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,3841.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,3987.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,48158.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,5487.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,3825.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,5679.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,10965.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,3754.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,5091.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,1625.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,4050.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,17871.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,13981.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,3777.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,5432.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,2741.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,9382.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,27885.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,7493.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,5953.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,3156.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,25145.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,3314.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,5005.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,4257.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,3958.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,13554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,67089.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,49063.0,0,0,1,0,0
