Common Name,Species,Class,Cervical,B6,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,13951.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,5304.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,23495.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,13708.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,70769.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,5765.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,3001.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,2614.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,8095.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,2438.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,2441.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,8530.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,14893.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,9056.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,15735.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,14583.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,15085.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,2812.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,2665.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,15821.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,3320.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,14677.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,4468.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,4029.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,3931.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,14934.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,8063.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,2118.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,2692.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,2658.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,2659.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,6207.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,4927.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,8700.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,15266.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,2233.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,2223.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,14978.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,2258.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,2820.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,2481.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,15695.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,2360.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,2328.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,1939.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,16434.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,22.0,9903.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,9042.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,1731.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,152.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,15072.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,12.0,20040.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,17378.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,12984.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,10714.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,2091.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,19406.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,2998.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,9590.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,2269.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,16593.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,17518.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,17209.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,9510.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,6903.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,9805.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,19807.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,8691.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,4.0,3824.0,0,0,1,0,0
