Common Name,Species,Class,Cervical,B3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,25357.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,-20359.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,12349.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,24851.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,52734.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,26670.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,22046.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,24563.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,-9010.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,-28237.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,39.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,42.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,117.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,28511.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,-14566.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,29644.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,44630.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,30727.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-16248.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,-29010.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,32908.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,-706.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,-737.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,16119.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,22240.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,46520.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,-14790.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,37641.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,-28395.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,-14537.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,-14258.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,-14961.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,-22813.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,-14737.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,29480.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,-14822.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,-14800.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,30100.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,7.0,2265.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,7.0,-27778.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,7.0,25892.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,7.0,32743.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,17.0,11344.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,17.0,22993.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,18.25,-30844.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,14.0,-59818.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,13.0,29868.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,23.33333333333333,2166.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,17.0,21392.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,15.0,-31875.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,14.0,38503.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,9.0,58932.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,12.0,28767.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,12.0,-33715.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,14.0,2329.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,11.0,44169.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,12.0,-15760.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,14.0,2630.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,12.0,-28809.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,13.5,-35157.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,28554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,30876.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,31897.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,8.0,-18004.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,8.0,-31113.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,3.0,-39797.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,3.0,46822.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,3.0,-40855.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,4.0,-22854.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,4.0,41534.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.5,53750.0,0,0,0,0,1
