Common Name,Species,Class,Lumbar,A3,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,-18524.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,-22350.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,75171.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,24799.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,2191.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,7102.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,23403.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,22457.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,22462.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,28108.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,18284.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,17399.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,5950.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,23316.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,10380.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,-24040.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-23862.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,31690.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,-11649.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,23044.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,-24065.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,-24120.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,23473.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,22017.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,22442.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,22644.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,23645.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,24054.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,-23967.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,24511.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,23747.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,24679.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,-24749.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,24639.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,2136.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,23127.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,24676.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,-13066.0,0,1,0,0,0
Ostrich,Struthio camelus australis,Aves,0.0,-26981.0,0,0,0,1,0
Okarito Kiwi,Apteryx rowi,Aves,0.0,17610.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,0.0,21887.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,24199.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,22264.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,22381.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,22507.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,22399.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,-24148.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,27119.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,23152.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,16852.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,22972.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,3418.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,32773.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,9300.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,-26463.0,0,0,0,1,0
Hoatzin,Opisthocomus hoazin,Aves,0.0,6949.0,0,0,0,1,0
Rock Pigeon,Columba livia,Aves,0.0,21906.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,5208.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,0.0,5265.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,22262.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,25119.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,-23377.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,-17663.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,-18052.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,19084.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,1682.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,-13468.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,16192.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,-15187.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,-13048.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,-917.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,-2241.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,7500.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,33460.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,-13303.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,5987.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,-13258.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,5578.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,18229.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,22856.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,13771.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,18288.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,22699.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,18306.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,18253.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,18454.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,-13205.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,15212.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,13338.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,22430.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,21977.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,23938.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,28329.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,25285.000000000004,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,23881.387054378185,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,23691.968184015783,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,16291.50586322594,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,11674.5,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,14034.093384659254,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,15005.706906557194,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,17610.813181273243,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,-6830.0,73,2,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,3914.000000000002,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,-510.49999999999994,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,-5539.124401827099,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,-521.0538963147234,80,5,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,-7430.179845459364,79,6,0,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,-7265.399542792323,94,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.86512758978104,5575.25238684557,92,17,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.345660193470834,8820.23749172639,78,18,0,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.186800600243894,7574.916996010341,98,19,0,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,6.240960777110775,22546.651846047243,97,2,0,0,0
Norway Rat+House Mouse+Guinea Pig,Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia,6.125915293156113,23071.052524187962,77,3,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia+Mammalia,6.431449463165332,22702.611044086185,71,4,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,4.51729047908524,24196.885273492557,67,2,0,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,4.690013840493477,24309.28196152013,66,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,7.0,-4324.849597312636,46,2,0,0,0
Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.777655625873242,10827.089506262688,32,5,0,0,0
Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.862373926495981,-2430.255754947112,106,6,0,0,0
Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.306312111167969,7904.750356530082,104,7,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig+Lemur+Common Marmoset+Gorilla+Human+Chimpanzee+Rhesus Monkey+Pig-Tailed Macaque,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus+Lemur catta+Callithrix jacchus+Gorilla gorilla+Homo sapiens+Pan troglodytes+Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.3740052651430625,15909.665324251642,103,11,0,0,0
