Common Name,Species,Class,Cervical,C5,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,1929.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,27239.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,2863.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,6762.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,8543.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,2293.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,7999.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,18430.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,17131.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,1797.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,2874.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,2889.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,1748.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,3315.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,1202.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,42476.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,1507.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,18079.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,1905.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,2349.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,7.0,1869.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,7.0,18351.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,2332.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,15138.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,18475.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,15925.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,2335.0,0,1,0,0,0
