Common Name,Species,Class,Cervical,A3,node,Mammalia,Reptilia,Aves,Amphibia
African Clawed Frog,Xenopus laevis,Amphibia,1.0,19084.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,1682.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,-13468.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,15.0,16192.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,13.0,-15187.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,17.0,-13048.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,-917.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,14.0,-2241.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,13.0,7500.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,12.0,33460.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,13.0,-13303.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,13.0,5987.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,13.0,-13258.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,12.0,5578.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,18229.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,13.333333333333334,22856.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,13.5,13771.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,14.0,18288.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,14.0,22699.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,13.0,18306.0,0,0,0,1,0
Razorbill,Alca torda,Aves,12.5,18253.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,14.0,18454.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,12.0,-13205.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,15.666666666666666,15212.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,8.0,13338.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,8.0,22430.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,3.0,21977.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,2.0,21336.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,3.0,23938.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,3.0,28329.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,3.0,21840.0,0,0,1,0,0
Axolotl+Iberian Ribbed Newt,Ambystoma mexicanum+Pleurodeles waltl,Amphibia+Amphibia,1.25,-17857.5,25,0,0,0,2
Common Toad+Asiatic Toad,Bufo bufo+Bufo gargarizans,Amphibia+Amphibia,1.0,-20436.999999999996,37,0,0,0,2
Common Toad+Asiatic Toad+Common Frog,Bufo bufo+Bufo gargarizans+Rana temporaria,Amphibia+Amphibia+Amphibia,1.0,26278.319476290577,36,0,0,0,3
African Clawed Frog+Western Clawed Frog,Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia,1.0,21941.5,35,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,24451.398989925972,34,0,0,0,5
European Fire-Bellied Toad+Painted Frog,Bombina bombina+Discoglossus pictus,Amphibia+Amphibia,1.0,-5893.0,43,0,0,0,2
Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.0,12779.100501899631,33,0,0,0,7
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.095185156109101,1114.5020961977095,51,0,0,0,9
Gaboon Caecilian+Tiny Cayenne Caecilian,Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia,1.0,3734.0000000000005,14,0,0,0,2
Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia,1.0,12650.492020623464,13,0,0,0,3
Axolotl+Iberian Ribbed Newt+Common Toad+Asiatic Toad+Common Frog+African Clawed Frog+Western Clawed Frog+European Fire-Bellied Toad+Painted Frog+Two-Lined Caecilian+Gaboon Caecilian+Tiny Cayenne Caecilian,Ambystoma mexicanum+Pleurodeles waltl+Bufo bufo+Bufo gargarizans+Rana temporaria+Xenopus laevis+Xenopus tropicalis+Bombina bombina+Discoglossus pictus+Rhinatrema bivittatum+Geotrypetes seraphini+Microcaecilia unicolor,Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia+Amphibia,1.060583304992181,5308.082504825174,50,0,0,0,12
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,25285.000000000004,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,23881.387054378185,57,3,0,0,0
