Common Name,Species,Class,Lumbar,D1,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,79035.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,89857.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,120788.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,30682.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,21417.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,19756.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,13921.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,14123.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,13767.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,18891.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,20846.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,12866.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,12164.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,10310.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,21417.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,8583.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,13974.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,31893.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,21432.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,13157.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,20795.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,12725.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,20414.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,15322.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,15347.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,14709.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,20062.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,30932.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,26848.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,15476.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,15570.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,14138.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,14453.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,38346.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,3.0,24398.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,13555.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,17122.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,11505.0,0,1,0,0,0
Chicken,Gallus gallus,Aves,0.0,35314.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,36787.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,36565.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,44756.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,6660.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,16641.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,46225.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,22083.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,8231.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,470570.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,223504.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,48598.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,45239.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,22058.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,24309.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,26355.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,18447.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,26515.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,23635.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,24560.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,25630.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,25952.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,20420.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,24649.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,21087.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,26034.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,45837.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,25096.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,24542.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,24502.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,29271.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,24497.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,28518.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,28950.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,23181.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,16894.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,8391.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,89781.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,0.0,120421.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,1.0,57390.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,7.0,16328.999999999998,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,7.0,15234.102490084255,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,7.0,14714.175397439332,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.553919438620739,16963.235346525365,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,6.0,12515.0,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,6.3570002851439975,15489.169375534642,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.4417563118140455,16123.622513001825,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,5.98979530727597,14301.17120867879,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,6.999999999999999,15000.0,73,2,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,11.549999999999999,22933.5,87,2,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,6.499999999999999,16976.0,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,6.274268330483138,18987.72063873426,82,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,9.074823190491458,21082.2872806585,80,5,0,0,0
North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,8.101405899701717,18635.502150443004,79,6,0,0,0
Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,7.799013210435044,17637.369425345965,94,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.86512758978104,15915.284132713821,92,17,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.345660193470834,16730.932352588443,78,18,0,0,0
Western European Hedgehog+Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse+Alpaca+Two-Humped Camel+North Pacific Minke Whale+Orca+Cattle+Goat+Sheep+Wild Boar+Flying Fox,Erinaceus europaeus+Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus+Vicugna pacos+Camelus ferus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Capra hircus+Ovis aries+Sus scrofa+Pteropus vampyrus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,6.186800600243894,17611.223048602376,98,19,0,0,0
Norway Rat+House Mouse,Rattus norvegicus+Mus musculus,Mammalia+Mammalia,6.240960777110775,15016.465951593347,97,2,0,0,0
Norway Rat+House Mouse+Guinea Pig,Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia,6.125915293156113,17425.43023768468,77,3,0,0,0
Rabbit+Norway Rat+House Mouse+Guinea Pig,Oryctolagus cuniculus+Rattus norvegicus+Mus musculus+Cavia porcellus,Mammalia+Mammalia+Mammalia+Mammalia,6.431449463165332,16690.181346116937,71,4,0,0,0
Human+Chimpanzee,Homo sapiens+Pan troglodytes,Mammalia+Mammalia,4.51729047908524,14878.759966050062,67,2,0,0,0
Gorilla+Human+Chimpanzee,Gorilla gorilla+Homo sapiens+Pan troglodytes,Mammalia+Mammalia+Mammalia,4.690013840493477,15092.464692726913,66,3,0,0,0
Rhesus Monkey+Pig-Tailed Macaque,Macaca mulatta+Macaca nemestrina,Mammalia+Mammalia,7.0,24333.825819458354,46,2,0,0,0
