Common Name,Species,Class,Thoracic,A10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,7197.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,7276.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,17156.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,8419.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,7064.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,15106.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,13628.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,13659.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,17878.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,8661.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,6922.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,7312.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,14976.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,1411.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,1413.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,14736.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,15492.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,1715.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,14871.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,1757.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,1335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,14100.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,13592.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,3662.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,14613.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,15653.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,14803.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,2171.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,14634.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,14627.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,14777.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,1516.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,14891.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,8011.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,13122.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,16314.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,7619.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,9466.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,15603.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,23667.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,13956.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,15492.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,15477.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,16125.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,6040.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,14070.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,24330.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,15979.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,9644.0,0,0,0,1,0
