Common Name,Species,Class,Thoracic,C4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,-48513.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,71255.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,116907.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,47702.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,23266.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,22629.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,-30297.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,17738.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,17729.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,4778.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,18181.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,-42048.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,23402.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,14585.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,22611.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,-40229.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,17037.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,-19097.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,23436.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,19202.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,22191.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,22331.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,22190.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,2228.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,22720.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,16119.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,-19131.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,670.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,22272.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,22443.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,24371.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,23027.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,-18473.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,-60.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,27.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,25657.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,17739.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,22386.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,20812.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,20701.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,21393.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,21399.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,19087.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,21888.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,30923.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.0,22507.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,18630.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,33728.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,32740.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,1331.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,17276.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,19445.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,-49335.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,56180.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,19616.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,34848.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,-869.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,-46582.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,32284.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,25493.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,20047.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,21856.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,52082.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,87511.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,40153.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,25131.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,19752.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,20720.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,19252.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,18440.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,20685.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,19948.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,526.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,22366.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,21775.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,188.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,-591.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,3143.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,24280.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,19192.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,24536.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,30132.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,27380.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,33488.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,24415.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,11253.5,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,14471.932866295852,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,-3254.4679910320124,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,8291.64394084969,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,-9322.999999999998,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,495.9358426005141,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,3851.2886958980403,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,7216.086826949551,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,-8809.0,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,2169.4999999999995,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,8420.635293416068,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,12870.474302295032,87,4,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,12.999999999999998,22260.499999999996,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,12.999999999999998,22229.123297937153,82,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.109629454486011,17082.64812427725,80,7,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale+Cattle+Goat+Sheep+Wild Boar,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni+Bos taurus+Capra hircus+Ovis aries+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,12.720949646443627,12839.949885961076,79,8,0,0,0
