Common Name,Species,Class,Cervical,A10,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,7197.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,7276.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,17156.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,1.0,15453.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,1.0,6654.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,1.0,14979.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,7.0,8419.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,7.0,7064.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,15106.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,13628.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,13659.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,17878.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,8661.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,7.0,6922.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,7.0,7312.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,7.0,14976.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,1411.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,1413.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,7.0,14736.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,7.0,15492.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,7.0,1715.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,7.0,14871.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,1757.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,7.0,1335.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,7.0,14100.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,13592.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,7.0,3662.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,7.0,14613.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,7.0,15653.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,14803.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,7.0,2171.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,7.0,14634.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,7.0,14627.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,7.0,14777.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,1516.0,0,1,0,0,0
