Common Name,Species,Class,Thoracic,D4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,28770.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,29561.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,7.0,42330.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,22813.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,21717.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,24717.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,4300.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,18006.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,17683.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,16685.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,23416.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,16532.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,17874.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,4182.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,33941.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,4182.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,38692.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,4190.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,24780.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,30102.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,23406.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,26172.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,37015.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,16783.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,4106.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,14045.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,36229.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,26241.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,34622.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,17109.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,18855.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,4122.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,36302.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,24193.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,17280.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,19815.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,14878.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,20296.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,18522.0,0,0,0,1,0
