Common Name,Species,Class,Caudal,C8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,7072.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,3.0,7877.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,20882.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,11753.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,6039.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,6648.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,7746.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,1079.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,6441.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,5950.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,13877.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,6292.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,6295.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,17772.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,6265.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,5841.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,5647.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,26348.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,12282.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,5648.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,12272.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,5484.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,12376.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,5737.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,11447.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,7215.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,6570.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,14167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,15900.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,8349.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,6414.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,13670.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,12876.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,13700.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,26828.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,5535.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,12875.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,30523.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,7902.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,6602.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,15778.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,3033.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,10003.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,10737.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,19219.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,11912.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,13883.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,12535.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,8825.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,12602.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,11947.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,9047.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,12418.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,13207.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,12734.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,12682.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,9813.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,12302.0,0,0,0,1,0
