Common Name,Species,Class,Sacral,C8,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,7072.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,15900.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,7877.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,20882.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,13318.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,5469.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,12376.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,11753.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,11898.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,6039.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,6614.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,6648.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,7746.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,1079.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,6441.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,5950.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,13877.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,6329.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,6292.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,17772.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,12600.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,12595.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,6265.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,12796.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,5841.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,-2680.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,5647.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,26348.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,17797.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,12282.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,12246.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,5648.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,12272.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,5484.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,12376.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,5737.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,11447.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,7215.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,6570.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,14167.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,15900.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,8349.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,6414.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,13670.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,12876.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,13700.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,11.0,26828.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,12875.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,30523.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,7902.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,6602.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,6125.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,15778.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,3033.0,0,0,1,0,0
