Common Name,Species,Class,Sacral,B2,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,1.0,47900.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,1.0,2128.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,1.0,4970.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,1.0,58211.0,0,0,0,0,1
Two-Lined Caecilian,Rhinatrema bivittatum,Amphibia,0.0,14773.0,0,0,0,0,1
Gaboon Caecilian,Geotrypetes seraphini,Amphibia,0.0,57895.0,0,0,0,0,1
Tiny Cayenne Caecilian,Microcaecilia unicolor,Amphibia,0.0,2839.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,3.5,5054.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,3.0,3996.0,0,1,0,0,0
Cat,Felis catus,Mammalia,2.0,3712.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,3.0,5335.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,3.0,5320.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,3.0,16976.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,3.0,9919.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,2.0,5360.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,32335.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,5.0,30714.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,4.0,3785.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,0.0,33539.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,5.0,3947.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,4.0,3333.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,4.0,2349.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,4.0,30771.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,6.0,3727.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,4.0,3735.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,3.5,3793.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,4.0,3702.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,3.5,6389.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,3.0,3625.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,3.0,1227.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,3844.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,47586.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,6.0,3841.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,3.0,3987.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,3.0,48158.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,5.0,5487.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,8.0,3825.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,5679.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,10965.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,15.0,1625.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,12.0,4050.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,14.0,17871.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,19.0,13981.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,20.0,3777.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,19.0,5432.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,16.0,2741.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,10.0,5953.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,12.0,25145.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,12.0,3958.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,13.0,13554.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,2.0,67089.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,2.0,49063.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,2.0,3472.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,2.0,517.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,1.0,4527.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,1.0,31309.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,1.0,4219.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,1.0,6184.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,15.0,50958.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,15.0,53021.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,15.0,3340.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,11.0,12334.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,13.0,3522.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,11.5,12456.0,0,0,0,1,0
