Common Name,Species,Class,Thoracic,B7,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,7.0,8327.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,7.0,799.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,7.0,15771.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,15.0,1276.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,15.0,2340.0,0,1,0,0,0
Cat,Felis catus,Mammalia,13.0,1306.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,13.0,2185.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,13.0,2177.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,13.0,1193.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,13.0,6828.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,14.0,1252.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,14.0,7975.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,19.0,7174.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,12.0,18393.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,12.0,1306.0,0,1,0,0,0
Narwhal,Monodon monoceros,Mammalia,12.0,1327.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,7837.0,0,1,0,0,0
Bottle-Nose Dolphin,Tursiops truncatus,Mammalia,13.0,305.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,10.5,7304.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,13.0,1295.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,13.0,1212.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,13.0,-13556.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,14.25,18541.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,14.0,293.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,12.0,-10170.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,12.5,1355.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,13.0,280.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,13.5,-331.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,12.0,226.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,13.0,47.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,12.0,1328.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,12.0,8060.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,13.0,90.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,12.0,-2808.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,12.0,18280.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.5,10907.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,23.0,1465.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,16.0,2452.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,17.0,8453.0,0,1,0,0,0
Okarito Kiwi,Apteryx rowi,Aves,8.0,1742.0,0,0,0,1,0
Emu,Dromaius novaehollandiae,Aves,8.333333333333334,299.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,2439.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,5.5,8481.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,7.5,2602.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,6.5,1189.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,160.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,5.0,7556.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,5.0,10365.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,7.0,1696.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,1099.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,381.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,200.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.5,8458.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,20.0,8875.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,18.0,9918.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,10.0,117.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,9.5,-36.0,0,0,1,0,0
Viviparous (Common) Lizard,Zootoca vivipara,Reptilia,20.0,3294.0,0,0,1,0,0
Sand Lizard,Lacerta agilis,Reptilia,20.0,10715.0,0,0,1,0,0
Common Wall Lizard,Podarcis muralis,Reptilia,20.0,99.0,0,0,1,0,0
Central Bearded Dragon,Pogona vitticeps,Reptilia,16.0,10114.0,0,0,1,0,0
Komodo Dragon,Varanus komodoensis,Reptilia,25.0,9236.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,15.5,4739.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,12.0,8289.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,7.0,10098.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,7.0,2849.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,7.0,9061.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,7.0,3143.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,9.0,2475.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,5253.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,7.0,5102.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,7.0,4476.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,5.0,2307.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,6.0,5749.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,5.0,4273.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,6.0,2337.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,6.0,7524.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,7.0,7489.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.0,2336.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,6.666666666666667,3725.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,7.0,4446.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,4517.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,8.0,2438.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,7.0,2326.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,5.5,8322.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,7.0,8398.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,9.0,-36.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,21.0,4243.0,0,0,1,0,0
Argentine Black And White Tegu,Salvator merianae,Reptilia,22.0,9762.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,19.0,3850.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,22.67,11150.0,0,0,1,0,0
Common Leopard Gecko,Eublepharis macularius,Reptilia,23.0,10237.0,0,0,1,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,12.999999999999998,1685.0000000000002,49,2,0,0,0
Tiger+Lion+Leopard,Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,13.0,1933.1635335257813,57,3,0,0,0
Cat+Tiger+Lion+Leopard,Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia,13.0,1684.8361447184895,60,4,0,0,0
Suricate+Cat+Tiger+Lion+Leopard,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.892161122758525,1977.0920050778673,56,5,0,0,0
Ermine+American Black Bear,Mustela erminea+Ursus americanus,Mammalia+Mammalia,14.0,4613.5,48,2,0,0,0
Fox+Ermine+American Black Bear,Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia,13.642999714856002,5404.077131451382,63,3,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,13.75024134453235,3929.0675265422346,47,8,0,0,0
Suricate+Cat+Tiger+Lion+Leopard+Fox+Ermine+American Black Bear+Horse,Suricata suricatta+Felis catus+Panthera tigris+Panthera leo+Panthera pardus+Vulpes vulpes+Mustela erminea+Ursus americanus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,15.395932905627205,4946.287238600863,68,9,0,0,0
Alpaca+Two-Humped Camel,Vicugna pacos+Camelus ferus,Mammalia+Mammalia,12.0,9849.499999999998,73,2,0,0,0
Orca+Bottle-Nose Dolphin,Orcinus orca+Tursiops truncatus,Mammalia+Mammalia,12.0,4070.9999999999995,72,2,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin,Monodon monoceros+Orcinus orca+Tursiops truncatus,Mammalia+Mammalia+Mammalia,12.0,2917.2676815111017,84,3,0,0,0
Narwhal+Orca+Bottle-Nose Dolphin+North Pacific Minke Whale,Monodon monoceros+Orcinus orca+Tursiops truncatus+Balaenoptera acutorostrata scammoni,Mammalia+Mammalia+Mammalia+Mammalia,11.380898550881753,4727.82257169132,87,4,0,0,0
Goat+Sheep,Capra hircus+Ovis aries,Mammalia+Mammalia,12.999999999999998,-6172.0,83,2,0,0,0
Cattle+Goat+Sheep,Bos taurus+Capra hircus+Ovis aries,Mammalia+Mammalia+Mammalia,12.999999999999998,-2800.923247435206,82,3,0,0,0
