Common Name,Species,Class,Lumbar,A11,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,0.0,8592.0,0,0,0,0,1
Asiatic Toad,Bufo gargarizans,Amphibia,0.0,8270.0,0,0,0,0,1
Common Frog,Rana temporaria,Amphibia,0.0,22325.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,0.0,25336.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,5.5,13413.0,0,1,0,0,0
Suricate,Suricata suricatta,Mammalia,6.0,13104.0,0,1,0,0,0
Cat,Felis catus,Mammalia,7.0,19017.0,0,1,0,0,0
Tiger,Panthera tigris,Mammalia,7.0,17711.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,7.0,17712.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,7.0,19536.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,7.0,14773.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,6.0,11073.0,0,1,0,0,0
American Black Bear,Ursus americanus,Mammalia,6.0,11474.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,5.0,19038.0,0,1,0,0,0
Alpaca,Vicugna pacos,Mammalia,7.0,5849.0,0,1,0,0,0
Two-Humped Camel,Camelus ferus,Mammalia,7.0,10923.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,11.0,9348.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,12.1,20503.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,6.0,7472.0,0,1,0,0,0
Goat,Capra hircus,Mammalia,6.0,18625.0,0,1,0,0,0
Sheep,Ovis aries,Mammalia,7.0,1921.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,5.75,9477.0,0,1,0,0,0
Flying Fox,Pteropus vampyrus,Mammalia,4.0,21481.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,7.0,17566.0,0,1,0,0,0
Norway Rat,Rattus norvegicus,Mammalia,6.5,98423.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,6.0,18780.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,6.0,18175.0,0,1,0,0,0
Lemur,Lemur catta,Mammalia,7.0,18452.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,6.0,8076.0,0,1,0,0,0
Gorilla,Gorilla gorilla,Mammalia,5.0,18563.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,5.0,18934.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,4.0,18962.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,7.0,8962.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,7.0,18578.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,3.0,17180.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,3.0,22121.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,2.0,15230.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,0.0,20524.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,0.0,20213.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,0.0,19446.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,0.0,39228.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,0.0,20451.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,0.0,19310.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,0.0,13411.0,0,0,0,1,0
Common Cuckoo,Cuculus canorus,Aves,0.0,18125.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,0.0,20826.0,0,0,0,1,0
Crow,Corvus hawaiiensis,Aves,0.0,13601.0,0,0,0,1,0
Zebra Finch,Taeniopygia guttata,Aves,0.0,20562.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,0.0,13706.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,0.0,20550.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,0.0,14788.0,0,0,0,1,0
Barn Owl,Tyto alba,Aves,0.0,5147.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,0.0,5611.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,4.0,18631.0,0,0,1,0,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,4.0,19967.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,0.0,21546.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,1.0,14194.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,0.0,45705.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,0.0,65207.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,0.0,22659.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,0.0,22993.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,0.0,28234.0,0,0,0,0,1
Southern Cassowary,Casuarius casuarius,Aves,0.0,15355.0,0,0,0,1,0
Golden Pheasant,Chrysolophus pictus,Aves,0.0,4960.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,0.0,15027.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,0.0,20509.0,0,0,0,1,0
Great Bustard,Otis tarda,Aves,0.0,16702.0,0,0,0,1,0
Brown Falcon,Falco berigora,Aves,0.0,15777.0,0,0,0,1,0
Merlin,Falco columbarius,Aves,0.0,15660.0,0,0,0,1,0
California Condor,Gymnogyps californianus,Aves,0.0,15198.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,0.0,15241.0,0,0,0,1,0
Lammergeier,Gypaetus barbatus,Aves,0.0,15295.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,0.0,13430.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,0.0,18098.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,0.0,18356.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,0.0,19314.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,0.0,18278.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,0.0,18096.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,0.0,18176.0,0,0,0,1,0
Razorbill,Alca torda,Aves,0.0,18249.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,0.0,18269.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,0.0,15146.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,0.0,19188.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,0.0,23927.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,1.0,24057.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,0.0,18038.0,0,0,1,0,0
