Common Name,Species,Class,Caudal,A4,node,Mammalia,Reptilia,Aves,Amphibia
Common Toad,Bufo bufo,Amphibia,2.5,6890.0,0,0,0,0,1
Western Clawed Frog,Xenopus tropicalis,Amphibia,3.0,12629.0,0,0,0,0,1
Western European Hedgehog,Erinaceus europaeus,Mammalia,12.5,10703.0,0,1,0,0,0
Cat,Felis catus,Mammalia,22.0,16698.0,0,1,0,0,0
Lion,Panthera leo,Mammalia,23.0,22211.0,0,1,0,0,0
Leopard,Panthera pardus,Mammalia,23.0,37347.0,0,1,0,0,0
Fox,Vulpes vulpes,Mammalia,22.0,11049.0,0,1,0,0,0
Ermine,Mustela erminea,Mammalia,18.0,89.0,0,1,0,0,0
Horse,Equus caballus,Mammalia,17.0,17012.0,0,1,0,0,0
Orca,Orcinus orca,Mammalia,24.0,10293.0,0,1,0,0,0
North Pacific Minke Whale,Balaenoptera acutorostrata scammoni,Mammalia,19.3,17480.0,0,1,0,0,0
Cattle,Bos taurus,Mammalia,21.0,9384.0,0,1,0,0,0
Wild Boar,Sus scrofa,Mammalia,21.5,10545.0,0,1,0,0,0
Rabbit,Oryctolagus cuniculus,Mammalia,10.0,18430.0,0,1,0,0,0
House Mouse,Mus musculus,Mammalia,30.0,14905.0,0,1,0,0,0
Guinea Pig,Cavia porcellus,Mammalia,5.5,15386.0,0,1,0,0,0
Common Marmoset,Callithrix jacchus,Mammalia,19.0,10275.0,0,1,0,0,0
Human,Homo sapiens,Mammalia,4.0,15156.0,0,1,0,0,0
Chimpanzee,Pan troglodytes,Mammalia,2.0,15417.0,0,1,0,0,0
Rhesus Monkey,Macaca mulatta,Mammalia,15.0,10696.0,0,1,0,0,0
Pig-Tailed Macaque,Macaca nemestrina,Mammalia,17.0,24301.0,0,1,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,20.0,10368.0,0,1,0,0,0
Linne'S Two-Toed Sloth,Choloepus didactylus,Mammalia,4.0,15438.0,0,1,0,0,0
Short-Beaked Echidna,Tachyglossus aculeatus,Mammalia,12.0,25262.0,0,1,0,0,0
Platypus,Ornithorhynchus anatinus,Mammalia,20.0,10635.0,0,1,0,0,0
Emu,Dromaius novaehollandiae,Aves,7.0,16047.0,0,0,0,1,0
Chicken,Gallus gallus,Aves,6.0,15898.0,0,0,0,1,0
Common Pheasant,Phasianus colchicus,Aves,6.0,15753.0,0,0,0,1,0
Black Swan,Cygnus atratus,Aves,8.0,16313.0,0,0,0,1,0
Mute Swan,Cygnus olor,Aves,9.0,16080.0,0,0,0,1,0
Swan Goose,Anser cygnoides,Aves,6.0,15463.0,0,0,0,1,0
Mallard,Anas platyrhynchos,Aves,6.5,10789.0,0,0,0,1,0
White Or Black-Backed Wagtail,Motacilla alba alba,Aves,6.0,16360.0,0,0,0,1,0
Barn Swallow,Hirundo rustica,Aves,6.0,8821.0,0,0,0,1,0
Kakapo,Strigops habroptila,Aves,7.0,18314.0,0,0,0,1,0
Budgerigar,Melopsittacus undulatus,Aves,6.0,11620.0,0,0,0,1,0
Ruff,Calidris pugnax,Aves,8.0,-2846.0,0,0,0,1,0
Emperor Penguin,Aptenodytes forsteri,Aves,8.0,12141.0,0,0,0,1,0
American Alligator,Alligator mississippiensis,Reptilia,39.0,15652.0,0,0,1,0,0
Chinese Soft-Shelled Turtle,Pelodiscus sinensis,Reptilia,13.0,17359.0,0,0,1,0,0
Green Sea Turtle,Chelonia mydas,Reptilia,19.0,10870.0,0,0,1,0,0
Axolotl,Ambystoma mexicanum,Amphibia,29.0,18639.0,0,0,0,0,1
Iberian Ribbed Newt,Pleurodeles waltl,Amphibia,38.3,19006.0,0,0,0,0,1
African Clawed Frog,Xenopus laevis,Amphibia,4.0,13065.0,0,0,0,0,1
European Fire-Bellied Toad,Bombina bombina,Amphibia,2.0,13802.0,0,0,0,0,1
Painted Frog,Discoglossus pictus,Amphibia,3.0,11208.0,0,0,0,0,1
Golden Pheasant,Chrysolophus pictus,Aves,5.0,12683.0,0,0,0,1,0
Bar-Headed Goose,Anser indicus,Aves,5.0,11016.0,0,0,0,1,0
Eastern Spot-Billed Duck,Anas zonorhyncha,Aves,6.0,16225.0,0,0,0,1,0
Steller'S Sea Eagle,Haliaeetus pelagicus,Aves,8.0,11127.0,0,0,0,1,0
Oriental Scops Owl,Otus sunia,Aves,6.0,11475.0,0,0,0,1,0
European Golden-Plover,Pluvialis apricaria,Aves,8.0,14800.0,0,0,0,1,0
Eurasian Woodcock,Scolopax rusticola,Aves,7.5,15135.0,0,0,0,1,0
Common Snipe,Gallinago gallinago,Aves,6.5,14513.0,0,0,0,1,0
Atlantic Puffin,Fratercula arctica,Aves,7.5,14751.0,0,0,0,1,0
Common Murre,Uria aalge,Aves,8.0,15114.0,0,0,0,1,0
Common Tern,Sterna hirundo,Aves,8.0,15216.0,0,0,0,1,0
Razorbill,Alca torda,Aves,8.0,14729.0,0,0,0,1,0
Eurasian Coot,Fulica atra,Aves,6.5,15402.0,0,0,0,1,0
Royal Penguin,Eudyptes schlegeli,Aves,6.0,12397.0,0,0,0,1,0
White Stork,Ciconia ciconia,Aves,6.0,16214.0,0,0,0,1,0
West African Mud Turtle,Pelusios castaneus,Reptilia,15.0,16694.0,0,0,1,0,0
Snapping Turtle,Chelydra serpentina,Reptilia,36.0,16654.0,0,0,1,0,0
Regal Horned Lizard,Sphenodon punctatus,Reptilia,30.0,15013.0,0,0,1,0,0
Desert Horned Lizard,Phrynosoma platyrhinos,Reptilia,13.0,13430.0,0,0,1,0,0
Chinese Crocodile Lizard,Shinisaurus crocodilurus,Reptilia,43.0,18368.0,0,0,1,0,0
Fox+Ermine,Vulpes vulpes+Mustela erminea,Mammalia+Mammalia,20.000000000000004,5569.000000000001,63,2,0,0,0
Lion+Leopard,Panthera leo+Panthera pardus,Mammalia+Mammalia,23.0,29779.0,49,2,0,0,0
Cat+Lion+Leopard,Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia,22.533115012914855,23671.67748393922,60,3,0,0,0
Fox+Ermine+Cat+Lion+Leopard,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,21.015808340899802,12828.382494300728,47,5,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,19.643568360947057,14257.964465053938,68,6,0,0,0
North Pacific Minke Whale+Orca,Balaenoptera acutorostrata scammoni+Orcinus orca,Mammalia+Mammalia,21.650000000000002,13886.5,87,2,0,0,0
North Pacific Minke Whale+Orca+Cattle,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus,Mammalia+Mammalia+Mammalia,21.381815894720315,12028.809332274153,80,3,0,0,0
North Pacific Minke Whale+Orca+Cattle+Wild Boar,Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia,21.41855566622857,11567.539048080165,79,4,0,0,0
Fox+Ermine+Cat+Lion+Leopard+Horse+North Pacific Minke Whale+Orca+Cattle+Wild Boar,Vulpes vulpes+Mustela erminea+Felis catus+Panthera leo+Panthera pardus+Equus caballus+Balaenoptera acutorostrata scammoni+Orcinus orca+Bos taurus+Sus scrofa,Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia+Mammalia,20.439232980124213,13051.941014378344,92,10,0,0,0
